FileName,IsDebuggerPresent,CheckRemoteDebuggerPresent,GetTickCount,OutputDebugStringA,FindWindowA,NtQueryInformationProcess,VirtualAlloc,WriteProcessMemory,ShellExecute,InternetOpen,Entropy_Max,Has_RWX,Imports_Count,Section_Count,Compile_Year,Label
TSWbPrxy.exe,1,0,1,1,0,0,0,0,0,0,5.867277823975458,0,145,7,0,0
a45bd4059d804b586397f43ee95232378d519c6b8978d334e07f6047435fe926.exe,0,0,0,0,0,0,0,0,0,0,6.967627691198396,0,78,3,2011,1
ce093ffa19f020a2b73719f653b5e0423df28ef1d59035d55e99154a85c5c668.exe,1,0,1,0,0,0,1,0,1,1,6.689880977676166,0,128,5,2018,1
c74c1f2227c2d4ed7ad46398def5d408e18a52adb45b73a7a880e327c527fa35.exe,0,0,0,0,0,0,0,0,0,0,5.793353100906861,0,18,3,2012,1
e90f9a877dea754a129154bc9309eafa28310fe97600a0095b5c114cc425977f.exe,0,0,1,0,0,0,1,0,0,0,7.913568004786449,0,99,4,2019,1
WWAHost.exe,1,0,1,0,0,1,0,0,0,0,6.194620649770203,0,220,8,0,0
ef48077e61db2dcdea9756d06cd330571e697ccb6c0f38b80f0198183ab47a11.exe,1,0,1,0,0,0,1,0,0,0,6.656444957362903,0,120,4,2016,1
unlodctr.exe,1,0,0,0,0,0,0,0,0,0,6.0276580994370885,0,82,7,0,0
ebac68b0e4bc51398de1bc867085737ee2981b6f7dc35a1cac6cf2912d877394.exe,0,0,0,0,0,0,0,0,0,0,7.89922192960541,0,4,5,2020,1
WMPDMC.exe,1,0,1,1,0,0,0,0,0,0,7.013100531337592,0,596,8,0,0
Utilman.exe,1,0,0,0,0,0,0,0,1,0,6.159232755388193,0,236,9,2000,0
WerFault.exe,1,1,1,0,0,1,1,0,0,0,6.967443808881319,0,443,9,0,0
bd5d3ebe6150f53c1535e1667a18bbd4831751a414e7518dc8e1d15a19db95b3.exe,0,0,0,0,0,0,0,0,0,0,7.924097645243432,1,11,3,1992,1
da1cdfaedf81f0d3dd5b8c650b43540eb5cbfda6bfe60561fd52f27567a6d915.exe,0,0,0,0,0,0,0,0,0,0,7.634417131978916,0,1,3,2020,1
f8b31cf177d5a4de939ee8c19d629df9548ac33721c47c66d71bc376922ec259.exe,0,0,0,0,0,0,1,0,0,0,7.83726426913447,0,169,3,2020,1
cb97bbdeb6441d37d0c8e59a68ff79acd57fb9757c89b10271a01bf22e3a70b5.exe,0,0,1,0,0,0,1,0,0,0,7.353178479758557,0,255,4,2020,1
wifitask.exe,1,0,0,0,0,0,0,0,0,0,6.079255798561736,0,143,7,0,0
b3be486490acd78ed37b0823d7b9b6361d76f64d26a089ed8fbd42d838f87440.exe,0,0,1,0,1,0,1,0,0,0,7.593245151313912,0,386,8,1992,1
d150feb631d6e9050b7fb76db57504e6dcc2715fe03e45db095f50d56a9495a5.exe,0,0,0,0,0,0,0,0,0,0,7.930867243505943,0,1,3,2020,1
whoami.exe,0,0,1,0,0,0,0,0,0,0,5.944544562660171,0,127,7,0,0
WindowsUpdateElevatedInstaller.exe,1,0,0,0,0,0,0,0,0,0,5.9438907321803205,0,81,7,0,0
ff2eb800ff16745fc13c216ff6d5cc2de99466244393f67ab6ea6f8189ae01dd.exe,0,0,1,0,0,0,1,0,0,0,6.616821720611909,0,109,4,2014,1
c9000ee2d7188ba9919e82bfe99560573b71f32b1165c740c9530358f630cb2c.exe,0,0,1,0,1,0,1,0,1,0,7.51768545163074,0,431,8,1992,1
b6e3cdf6757bb325e62cd43f31eb590e8ec63f25674b89ff65d70707af999951.exe,0,0,0,0,0,0,0,0,1,0,7.978537213939821,0,58,5,2020,1
e22ec613890a1db0150f34d333363a6384a378e5ace4b5cc206d6e1a2e456598.exe,0,0,0,1,0,0,1,0,0,0,5.535561286682286,0,78,8,2019,1
wbadmin.exe,1,0,1,0,0,0,0,0,0,0,6.386242030263131,0,232,7,2008,0
WallpaperHost.exe,1,0,1,0,0,0,0,0,0,0,5.85543274988969,0,60,7,0,0
da995f78d6ba4f7acab4a421e759cc15d2a3b8ca5549edd76605252e410d65ac.exe,0,0,0,0,0,0,1,0,0,0,7.83726426913447,0,169,3,2020,1
cec36e8ed65ac6f250c05b4a17c09f58bb80c19b73169aaf40fa15c8d3a9a6a1.exe,0,0,1,0,0,0,1,0,0,0,6.009230672622882,0,54,7,2016,1
WinBioDataModelOOBE.exe,1,0,0,0,0,0,0,0,0,0,5.966962106399022,0,127,8,0,0
UPPrinterInstaller.exe,1,0,0,0,0,0,0,0,0,0,6.058958763655848,0,120,8,0,0
winrshost.exe,0,0,1,0,0,0,0,0,0,0,5.755660733376035,0,74,8,0,0
